muon2: pt=197.347, eta=-0.439855, phi=0.157415, m=0.1
muon1: pt=247.528, eta=0.0783827, phi=1.45622, m=0.1
muon2: pt=201.267, eta=1.14188, phi=-1.66336, m=0.1
muon1: pt=242.08, eta=-0.376919, phi=-0.296933, m=0.1
muon2: pt=235.937, eta=-0.391599, phi=2.81797, m=0.1
muon1: pt=268.87, eta=0.459095, phi=-1.28643, m=0.1
muon2: pt=232.251, eta=0.620778, phi=1.86425, m=0.1
muon1: pt=254.449, eta=-0.210391, phi=-2.87384, m=0.1
muon2: pt=210.641, eta=0.122309, phi=0.20302, m=0.1
muon1: pt=259.156, eta=0.265261, phi=-2.99848, m=0.1
muon2: pt=251.437, eta=-0.727454, phi=0.106508, m=0.1
muon1: pt=243.662, eta=0.529285, phi=0.00260906, m=0.1
muon2: pt=253.819, eta=0.303345, phi=3.09568, m=0.1
muon1: pt=247.061, eta=0.513147, phi=-2.81158, m=0.1
muon2: pt=220.243, eta=0.00985925, phi=0.313281, m=0.1
muon1: pt=274.493, eta=-0.292601, phi=2.03764, m=0.1
muon2: pt=214.152, eta=-0.123474, phi=-1.06692, m=0.1
muon1: pt=217.333, eta=0.0985844, phi=-0.30717, m=0.1
muon2: pt=213.331, eta=-0.455659, phi=2.83482, m=0.1
muon1: pt=248.647, eta=-0.82175, phi=0.143209, m=0.1
muon2: pt=183.315, eta=0.139822, phi=-3.00717, m=0.1
muon1: pt=242.352, eta=0.660138, phi=0.152108, m=0.1
muon2: pt=223.527, eta=-0.183341, phi=-2.91767, m=0.1
muon1: pt=234.085, eta=-0.270406, phi=0.965918, m=0.1
muon2: pt=227.698, eta=-0.24499, phi=-2.37785, m=0.1
muon1: pt=213.994, eta=-0.123463, phi=-1.89567, m=0.1
muon2: pt=204.708, eta=0.920827, phi=1.33343, m=0.1
muon1: pt=244.922, eta=0.132614, phi=2.59146, m=0.1
muon2: pt=212.824, eta=0.994446, phi=-0.562769, m=0.1
muon1: pt=221.271, eta=-0.277616, phi=1.13625, m=0.1
muon2: pt=219.611, eta=-0.837587, phi=-1.96307, m=0.1
muon1: pt=209.986, eta=0.351552, phi=1.91016, m=0.1
muon2: pt=194.412, eta=-0.845867, phi=-1.06277, m=0.1
muon1: pt=190.894, eta=-0.704311, phi=1.20776, m=0.1
muon2: pt=188.251, eta=0.409345, phi=-1.99271, m=0.1
muon1: pt=244.607, eta=-0.0181387, phi=0.214373, m=0.1
muon2: pt=205.471, eta=0.293117, phi=-2.94297, m=0.1
muon1: pt=279.391, eta=0.15234, phi=-1.30974, m=0.1
muon2: pt=211.418, eta=0.46739, phi=1.80976, m=0.1
muon1: pt=246.337, eta=-0.412199, phi=1.48445, m=0.1
muon2: pt=187.011, eta=0.680611, phi=-1.44746, m=0.1
muon1: pt=233.488, eta=0.864243, phi=-1.18359, m=0.1
muon2: pt=207.894, eta=0.231849, phi=1.87333, m=0.1
muon1: pt=223.56, eta=0.721935, phi=-2.56591, m=0.1
muon2: pt=188.874, eta=-0.420472, phi=0.662763, m=0.1
muon1: pt=251.063, eta=-0.130736, phi=-1.30143, m=0.1
muon2: pt=233.23, eta=-0.0607758, phi=1.91614, m=0.1
muon1: pt=198.69, eta=0.96297, phi=0.0191722, m=0.1
muon2: pt=186.053, eta=-0.419463, phi=-3.08595, m=0.1
muon1: pt=274.007, eta=0.00270551, phi=1.14138, m=0.1
muon2: pt=254.008, eta=0.434891, phi=-2.01741, m=0.1
muon1: pt=237.909, eta=-0.0932704, phi=-1.3529, m=0.1
muon2: pt=244.097, eta=-0.220984, phi=1.80031, m=0.1
muon1: pt=248.478, eta=0.166114, phi=0.22828, m=0.1
muon2: pt=222.726, eta=-0.822861, phi=-2.91081, m=0.1
muon1: pt=288.547, eta=-0.314912, phi=-1.11492, m=0.1
muon2: pt=233.143, eta=-0.0390521, phi=2.01993, m=0.1
muon1: pt=264.665, eta=0.164256, phi=0.680282, m=0.1
muon2: pt=218.63, eta=-0.221391, phi=-2.43669, m=0.1
muon1: pt=209.998, eta=0.0111768, phi=-2.69252, m=0.1
muon2: pt=204.56, eta=0.837579, phi=0.559038, m=0.1
muon1: pt=241.708, eta=0.0759794, phi=-2.74038, m=0.1
muon2: pt=249.11, eta=0.49026, phi=0.441688, m=0.1
muon1: pt=267.618, eta=-0.0736776, phi=3.07429, m=0.1
muon2: pt=223.155, eta=-0.240291, phi=-0.0309199, m=0.1
muon1: pt=293.894, eta=-0.392656, phi=2.024, m=0.1
muon2: pt=211.911, eta=0.502208, phi=-1.13759, m=0.1
muon1: pt=247.761, eta=-0.440567, phi=0.22667, m=0.1
muon2: pt=233.13, eta=-0.260914, phi=-2.88283, m=0.1
muon1: pt=251.455, eta=0.462418, phi=0.954126, m=0.1
